Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,18,Male,14,Single,3,4,29562,112
TM195,19,Male,15,Single,2,3,31836,75
TM195,19,Female,14,Partnered,4,3,30699,66
TM195,19,Male,12,Single,3,3,32973,85
TM195,20,Male,13,Partnered,4,2,35247,47
TM195,20,Female,14,Partnered,3,3,32973,66
TM195,21,Female,14,Partnered,3,3,35247,75
TM195,21,Male,13,Single,3,3,32973,85
TM195,21,Male,15,Single,5,4,35247,141
TM195,21,Female,15,Partnered,2,3,37521,85
TM195,22,Male,14,Single,3,3,36384,85
TM195,22,Female,14,Partnered,3,2,35247,66
TM195,22,Female,16,Single,4,3,36384,75
TM195,22,Female,14,Single,3,3,35247,75
TM195,23,Male,16,Partnered,3,1,38658,47
TM195,23,Male,16,Partnered,3,3,40932,75
TM195,23,Female,14,Single,2,3,34110,103
TM195,23,Male,16,Partnered,4,3,39795,94
TM195,23,Female,16,Single,4,3,38658,113
TM195,23,Female,15,Partnered,2,2,34110,38
TM195,23,Male,14,Single,4,3,38658,113
TM195,23,Male,16,Single,4,3,40932,94
TM195,24,Female,16,Single,4,3,42069,94
TM195,24,Female,16,Partnered,5,5,44343,188
TM195,24,Male,14,Single,2,3,45480,113
TM195,24,Male,13,Partnered,3,2,42069,47
TM195,24,Female,16,Single,4,3,46617,75
TM195,25,Female,14,Partnered,3,3,48891,75
TM195,25,Male,14,Partnered,2,3,45480,56
TM195,25,Female,14,Partnered,2,2,53439,47
TM195,25,Female,14,Partnered,3,3,39795,85
TM195,25,Male,16,Single,3,4,40932,113
TM195,25,Female,16,Partnered,2,2,40932,47
TM195,25,Male,16,Single,3,3,43206,85
TM195,26,Female,14,Partnered,3,4,44343,113
TM195,26,Female,16,Partnered,4,3,52302,113
TM195,26,Male,16,Partnered,2,2,53439,47
TM195,26,Male,16,Partnered,3,3,51165,85
TM195,26,Female,16,Single,3,3,36384,66
TM195,26,Male,16,Partnered,4,4,44343,132
TM195,26,Male,16,Single,3,3,50028,85
TM195,27,Female,14,Partnered,3,2,45480,66
TM195,27,Male,16,Single,4,3,54576,85
TM195,27,Female,14,Partnered,2,3,45480,56
TM195,28,Female,14,Partnered,2,3,46617,56
TM195,28,Female,16,Partnered,2,3,52302,66
TM195,28,Male,14,Single,3,3,52302,103
TM195,28,Female,14,Partnered,3,3,54576,94
TM195,28,Male,14,Single,4,3,54576,113
TM195,28,Female,16,Partnered,3,3,51165,56
TM195,29,Male,18,Partnered,3,3,68220,85
TM195,29,Female,14,Partnered,2,2,46617,38
TM195,29,Female,16,Partnered,4,3,50028,94
TM195,30,Male,14,Partnered,4,4,46617,141
TM195,30,Male,14,Single,3,3,54576,85
TM195,31,Male,14,Partnered,2,2,54576,47
TM195,31,Female,14,Single,2,2,45480,47
TM195,32,Female,14,Single,3,4,46617,113
TM195,32,Male,14,Partnered,4,3,52302,85
TM195,33,Female,16,Single,2,2,55713,38
TM195,33,Female,16,Partnered,3,3,46617,85
TM195,34,Male,16,Single,4,5,51165,169
TM195,34,Female,16,Single,2,2,52302,66
TM195,35,Male,16,Partnered,4,3,48891,85
TM195,35,Female,16,Partnered,3,3,60261,94
TM195,35,Female,18,Single,3,3,67083,85
TM195,36,Male,12,Single,4,3,44343,94
TM195,37,Female,16,Partnered,3,3,37521,85
TM195,38,Male,16,Partnered,3,3,46617,75
TM195,38,Female,14,Partnered,2,3,54576,56
TM195,38,Male,14,Single,2,3,52302,56
